episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
1,True,False,802,64,,,
2,False,True,-1186,200,,,
3,False,True,-739,57,,,
4,False,True,-1084,200,,,
5,False,True,-1408,200,,,
6,False,True,-1291,200,,,
7,False,True,-361,58,,,
8,False,True,-997,200,,,
9,False,True,-792,191,,,
10,False,True,-706,200,,,
11,False,True,-762,200,,,
12,False,True,-289,19,,,
13,False,True,-748,200,,,
14,False,True,-521,118,,,
15,False,True,-871,200,,,
16,False,True,-283,52,,,
17,False,True,-616,142,,,
18,True,False,828,41,,,
19,False,True,-997,142,,,
20,False,True,36,45,,,
21,True,False,543,134,,,
22,True,False,710,96,,,
23,False,True,14,151,,,
24,False,True,-42,83,,,
25,False,True,87,56,,,
26,False,True,-549,127,,,
27,False,True,-426,107,,,
28,False,True,87,42,,,
29,False,True,-288,92,,,
30,False,True,-92,45,,,
31,False,True,-287,60,,,
32,False,True,104,43,,,
33,False,True,-536,151,,,
34,True,False,680,56,,,
35,True,False,831,49,,,
36,False,True,-402,99,,,
37,False,True,91,48,,,
38,False,True,-67,88,,,
39,False,True,134,46,,,
40,False,True,-17,46,,,
41,True,False,652,52,,,
42,False,True,121,46,,,
43,True,False,532,72,,,
44,True,False,753,43,,,
45,False,True,-210,34,,,
46,True,False,604,48,,,
47,False,True,-114,45,,,
48,False,True,169,56,,,
49,False,True,-101,44,,,
50,True,False,863,50,,,
51,True,False,587,56,,,
52,False,True,-46,42,,,
53,False,True,103,37,,,
54,True,False,744,61,,,
55,False,True,128,43,,,
56,True,False,807,40,,,
57,True,False,1015,84,,,
58,False,True,75,38,,,
59,False,True,118,41,,,
60,False,True,118,40,,,
61,True,False,842,44,,,
62,True,False,1000,63,,,
63,True,False,813,36,,,
64,False,True,21,46,,,
65,False,True,-205,39,,,
66,False,True,153,45,,,
67,True,False,848,58,,,
68,False,True,0,35,,,
69,False,True,109,47,,,
70,False,True,-7,23,,,
71,True,False,56,157,,,
72,True,False,921,65,,,
73,False,True,37,32,,,
74,True,False,765,27,,,
75,False,True,55,39,,,
76,False,True,-160,30,,,
77,False,True,173,47,,,
78,False,True,-129,59,,,
79,False,True,-484,51,,,
80,False,True,0,38,,,
81,False,True,11,49,,,
82,False,True,66,35,,,
83,True,False,519,65,,,
84,True,False,675,48,,,
85,True,False,843,40,,,
86,True,False,903,48,,,
87,False,True,68,47,,,
88,False,True,84,45,,,
89,False,True,-833,159,,,
90,True,False,669,80,,,
91,True,False,721,28,,,
92,False,True,30,118,,,
93,False,True,-117,51,,,
94,False,True,-112,49,,,
95,False,True,-114,52,,,
96,False,True,112,48,,,
97,False,True,94,35,,,
98,True,False,897,49,,,
99,False,True,-336,104,,,
100,True,False,938,40,,,
101,True,False,699,54,,,
102,False,True,-199,44,,,
103,False,True,88,33,,,
104,False,True,118,38,,,
105,False,True,-247,37,,,
106,False,True,39,61,,,
107,False,True,99,40,,,
108,False,True,114,37,,,
109,False,True,-61,59,,,
110,False,True,-99,28,,,
111,False,True,169,43,,,
112,False,True,61,83,,,
113,False,True,72,31,,,
114,True,False,681,48,,,
115,True,False,729,29,,,
116,False,True,-48,41,,,
117,False,True,28,31,,,
118,True,False,756,71,,,
119,False,True,-86,29,,,
120,True,False,899,51,,,
121,False,True,13,27,,,
122,True,False,800,60,,,
123,True,False,949,48,,,
124,False,True,-121,47,,,
125,True,False,798,31,,,
126,False,True,120,38,,,
127,False,True,-160,38,,,
128,False,True,111,37,,,
129,False,True,-23,48,,,
130,False,True,47,30,,,
131,True,False,791,33,,,
132,False,True,-36,40,,,
133,False,True,-212,35,,,
134,True,False,777,35,,,
135,True,False,840,39,,,
136,True,False,648,45,,,
137,True,False,953,55,,,
138,True,False,727,46,,,
139,True,False,799,33,,,
140,True,False,810,38,,,
141,False,True,121,36,,,
142,False,True,135,38,,,
143,False,True,109,49,,,
144,True,False,971,54,,,
145,False,True,104,34,,,
146,True,False,815,61,,,
147,False,True,67,33,,,
148,True,False,823,34,,,
149,False,True,111,37,,,
150,False,True,57,29,,,
151,True,False,624,29,,,
152,False,True,-60,40,,,
153,True,False,632,38,,,
154,True,False,826,39,,,
155,True,False,880,40,,,
156,False,True,100,36,,,
157,True,False,854,38,,,
158,True,False,818,36,,,
159,True,False,719,31,,,
160,True,False,1063,77,,,
161,True,False,903,45,,,
162,True,False,615,26,,,
163,False,True,31,41,,,
164,True,False,716,48,,,
165,True,False,797,35,,,
166,False,True,97,33,,,
167,False,True,76,31,,,
168,False,True,-124,34,,,
169,True,False,871,42,,,
170,True,False,1026,61,,,
171,True,False,591,45,,,
172,False,True,117,40,,,
173,False,True,41,40,,,
174,False,True,40,30,,,
175,False,True,79,30,,,
176,False,True,4,48,,,
177,True,False,717,30,,,
178,False,True,187,42,,,
179,True,False,728,49,,,
180,False,True,117,35,,,
181,True,False,930,50,,,
182,True,False,819,33,,,
183,True,False,601,27,,,
184,True,False,888,39,,,
185,True,False,978,50,,,
186,True,False,621,40,,,
187,True,False,968,52,,,
188,False,True,65,30,,,
189,False,True,-39,20,,,
190,True,False,772,49,,,
191,False,True,-72,39,,,
192,True,False,676,29,,,
193,False,True,67,30,,,
194,True,False,897,72,,,
195,True,False,845,48,,,
196,True,False,595,42,,,
197,True,False,883,46,,,
198,True,False,647,107,,,
199,False,True,-89,23,,,
200,False,True,157,39,,,
201,True,False,948,49,,,
202,True,False,1007,56,,,
203,False,True,53,40,,,
204,False,True,160,40,,,
205,True,False,729,29,,,
206,False,True,21,24,,,
207,True,False,704,28,,,
208,True,False,818,37,,,
209,True,False,1018,57,,,
210,True,False,661,62,,,
211,False,True,-17,37,,,
212,True,False,879,43,,,
213,False,True,-116,37,,,
214,False,True,-122,35,,,
215,False,True,-122,37,,,
216,True,False,966,52,,,
217,False,True,69,33,,,
218,False,True,-27,23,,,
219,False,True,126,35,,,
220,False,True,-21,24,,,
221,False,True,153,39,,,
222,True,False,922,45,,,
223,False,True,-75,22,,,
224,False,True,207,49,,,
225,True,False,811,25,,,
226,True,False,926,46,,,
227,True,False,947,47,,,
228,True,False,650,36,,,
229,True,False,681,43,,,
230,False,True,131,42,,,
231,True,False,1093,67,,,
232,True,False,639,48,,,
233,True,False,985,52,,,
234,True,False,857,38,,,
235,True,False,694,42,,,
236,True,False,656,47,,,
237,True,False,911,44,,,
238,True,False,724,39,,,
239,True,False,1083,61,,,
240,False,True,-256,44,,,
241,False,True,-104,46,,,
242,True,False,628,44,,,
243,True,False,578,42,,,
244,True,False,898,49,,,
245,True,False,618,52,,,
246,False,True,5,27,,,
247,False,True,202,45,,,
248,False,True,-54,31,,,
249,True,False,824,64,,,
250,False,True,22,24,,,
251,False,True,156,39,,,
252,True,False,727,41,,,
253,True,False,863,40,,,
254,True,False,861,39,,,
255,False,True,228,49,,,
256,True,False,580,47,,,
257,True,False,845,38,,,
258,True,False,871,46,,,
259,True,False,768,31,,,
260,True,False,908,56,,,
261,True,False,723,26,,,
262,True,False,858,52,,,
263,False,True,-79,37,,,
264,True,False,797,51,,,
265,True,False,1182,74,,,
266,False,True,208,47,,,
267,True,False,715,25,,,
268,False,True,83,45,,,
269,True,False,1019,55,,,
270,False,True,-126,25,,,
271,False,True,88,38,,,
272,False,True,-173,34,,,
273,False,True,-64,25,,,
274,True,False,858,42,,,
275,True,False,677,34,,,
276,True,False,584,31,,,
277,False,True,127,37,,,
278,True,False,621,26,,,
279,True,False,765,37,,,
280,True,False,654,46,,,
